source_id,group,coefficient,basis,value,units,status,confidence,notes
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M070_CANDIDATE_V0,control,CL_delta_e,delta_e_rad,0.28647890,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CL); central difference using +/-10 deg; DCL(+)= 0.05, DCL(-)= -0.05"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M070_CANDIDATE_V0,control,Cm_delta_e,delta_e_rad,-1.77158550,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CM); central difference using +/-10 deg; DCM(+)= -0.3093, DCM(-)= 0.3091"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M070_CANDIDATE_V0,control,CD_delta_e,delta_e_rad_squared,0.09093374,1/rad^2,candidate-pending-review,0.30,Elevator drag from DATCOM SYMFLP D(CD MIN)+D(CDI) at alpha 0 deg; mean quadratic coefficient from 2 nonzero samples; DCD/delta_rad^2
