source_id,group,coefficient,basis,value,units,status,confidence,notes
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M050_CANDIDATE_V0,control,CL_delta_e,delta_e_rad,0.29793805,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CL); central difference using +/-10 deg; DCL(+)= 0.052, DCL(-)= -0.052"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M050_CANDIDATE_V0,control,Cm_delta_e,delta_e_rad,-1.64868606,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CM); central difference using +/-10 deg; DCM(+)= -0.2878, DCM(-)= 0.2877"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M050_CANDIDATE_V0,control,CD_delta_e,delta_e_rad_squared,0.08535297,1/rad^2,candidate-pending-review,0.30,Elevator drag from DATCOM SYMFLP D(CD MIN)+D(CDI) at alpha 0 deg; mean quadratic coefficient from 2 nonzero samples; DCD/delta_rad^2
