source_id,group,coefficient,basis,value,units,status,confidence,notes
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M080_CANDIDATE_V0,control,CL_delta_e,delta_e_rad,0.26929016,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CL); central difference using +/-10 deg; DCL(+)= 0.047, DCL(-)= -0.047"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M080_CANDIDATE_V0,control,Cm_delta_e,delta_e_rad,-1.86898833,1/rad,candidate-pending-review,0.35,"Elevator derivative from DATCOM SYMFLP D(CM); central difference using +/-10 deg; DCM(+)= -0.3263, DCM(-)= 0.3261"
DIGITAL_DATCOM_B777_LIKE_CONTROL_ELEVATOR_M080_CANDIDATE_V0,control,CD_delta_e,delta_e_rad_squared,0.09552966,1/rad^2,candidate-pending-review,0.30,Elevator drag from DATCOM SYMFLP D(CD MIN)+D(CDI) at alpha 0 deg; mean quadratic coefficient from 2 nonzero samples; DCD/delta_rad^2
