case_id,mach,input_file,run_dir,candidate_file,extraction_report,datcom_exit_status,error_count,warning_count
m030,0.30,data/aerodynamics/raw/datcom/mach_grid/b777_like_static_damping_m030.inp,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m030_v0,data/aerodynamics/raw/datcom/mach_grid/b777_like_derivative_datcom_candidate_m030.csv,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m030_v0/datcom_extraction_report.txt,0,0,1
m050,0.50,data/aerodynamics/raw/datcom/mach_grid/b777_like_static_damping_m050.inp,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m050_v0,data/aerodynamics/raw/datcom/mach_grid/b777_like_derivative_datcom_candidate_m050.csv,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m050_v0/datcom_extraction_report.txt,0,0,1
m060,0.60,data/aerodynamics/raw/datcom/mach_grid/b777_like_static_damping_m060.inp,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m060_v0,data/aerodynamics/raw/datcom/mach_grid/b777_like_derivative_datcom_candidate_m060.csv,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m060_v0/datcom_extraction_report.txt,0,0,1
m070,0.70,data/aerodynamics/raw/datcom/mach_grid/b777_like_static_damping_m070.inp,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m070_v0,data/aerodynamics/raw/datcom/mach_grid/b777_like_derivative_datcom_candidate_m070.csv,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m070_v0/datcom_extraction_report.txt,0,0,1
m080,0.80,data/aerodynamics/raw/datcom/mach_grid/b777_like_static_damping_m080.inp,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m080_v0,data/aerodynamics/raw/datcom/mach_grid/b777_like_derivative_datcom_candidate_m080.csv,data/aerodynamics/raw/datcom/runs/b777_like_static_damping_m080_v0/datcom_extraction_report.txt,0,0,1
